product_id,name,category,brand,unit_price,unit_cost
43,Clothing Item 43,Jackets,TrendyStyle,126.0,47.16
44,Clothing Item 44,Pants,ClassyWear,30.68,33.31
45,Clothing Item 45,Accessories,FashionX,61.65,16.02
46,Clothing Item 46,Shirts,TrendyStyle,108.22,55.88
47,Clothing Item 47,Pants,StreetVibe,155.18,29.85
48,Clothing Item 48,Accessories,TrendyStyle,28.32,56.98
49,Clothing Item 49,Shirts,ClassyWear,172.4,70.52
50,Clothing Item 50,Pants,TrendyStyle,83.96,85.6
51,Clothing Item 51,Accessories,FashionX,73.61,43.58
52,Clothing Item 52,Shirts,StreetVibe,30.81,22.47
53,Clothing Item 53,Pants,ClassyWear,117.19,93.49
54,Clothing Item 54,Shirts,TrendyStyle,195.45,85.25
55,Clothing Item 55,Pants,ClassyWear,160.0,12.77
56,Clothing Item 56,Shirts,StreetVibe,190.86,98.52
57,Clothing Item 57,Pants,StreetVibe,176.42,55.39
58,Clothing Item 58,Jackets,TrendyStyle,136.14,72.94
59,Clothing Item 59,Shirts,StreetVibe,46.07,36.88
60,Clothing Item 60,Pants,TrendyStyle,22.84,53.29
61,Clothing Item 61,Pants,TrendyStyle,75.75,81.53
62,Clothing Item 62,Accessories,FashionX,134.74,61.76
63,Clothing Item 63,Jackets,ClassyWear,129.44,90.43
64,Clothing Item 64,Shirts,StreetVibe,136.46,22.05
65,Clothing Item 65,Accessories,ClassyWear,121.09,30.01
66,Clothing Item 66,Accessories,FashionX,110.8,40.58
67,Clothing Item 67,Pants,ClassyWear,145.7,33.74
68,Clothing Item 68,Jackets,ClassyWear,29.53,52.37
69,Clothing Item 69,Pants,ClassyWear,72.75,45.87
70,Clothing Item 70,Shirts,ClassyWear,138.89,89.34
71,Clothing Item 71,Shirts,FashionX,42.31,78.55
72,Clothing Item 72,Jackets,FashionX,150.89,89.85
73,Clothing Item 73,Pants,StreetVibe,168.4,88.58
74,Clothing Item 74,Pants,FashionX,159.35,42.57
75,Clothing Item 75,Accessories,FashionX,49.37,20.77
76,Clothing Item 76,Accessories,TrendyStyle,85.13,42.12
77,Clothing Item 77,Pants,FashionX,80.79,30.45
78,Clothing Item 78,Jackets,StreetVibe,57.25,28.55
79,Clothing Item 79,Shirts,TrendyStyle,117.95,40.48
80,Clothing Item 80,Jackets,TrendyStyle,36.96,94.51
81,Clothing Item 81,Pants,StreetVibe,187.63,82.27
82,Clothing Item 82,Jackets,TrendyStyle,24.32,19.55
83,Clothing Item 83,Jackets,TrendyStyle,195.01,97.54
84,Clothing Item 84,Accessories,TrendyStyle,83.93,13.89
85,Clothing Item 85,Shirts,TrendyStyle,64.5,95.56
86,Clothing Item 86,Jackets,FashionX,160.8,75.1
87,Clothing Item 87,Jackets,ClassyWear,178.65,41.99
88,Clothing Item 88,Shirts,TrendyStyle,169.8,91.31
89,Clothing Item 89,Jackets,StreetVibe,95.04,22.17
90,Clothing Item 90,Shirts,StreetVibe,69.51,25.68
91,Clothing Item 91,Accessories,StreetVibe,55.68,11.67
92,Clothing Item 92,Shirts,TrendyStyle,55.63,44.68
93,Clothing Item 93,Accessories,FashionX,43.34,18.23
94,Clothing Item 94,Accessories,TrendyStyle,113.3,10.03
95,Clothing Item 95,Jackets,TrendyStyle,152.38,75.25
96,Clothing Item 96,Accessories,ClassyWear,81.08,97.04
97,Clothing Item 97,Accessories,TrendyStyle,187.15,95.63
98,Clothing Item 98,Jackets,FashionX,74.87,12.11
99,Clothing Item 99,Pants,FashionX,78.19,41.74
100,Clothing Item 100,Pants,FashionX,48.63,54.52
