sale_id;sale_date;product_id;customer_id;channel_id;quantity;unit_price_sale
60;2026-02;94;7;3;2;98.03
61;2026-01;5;11;2;5;129.47
62;2026-03;37;8;2;3;13.57
63;2026-02;96;4;3;5;134.66
64;2026-02;98;2;1;2;195.51
65;2026-02;21;12;2;5;117.04
66;2026-02;58;8;2;4;159.74
67;2026-03;52;14;1;3;109.35
68;2026-03;69;14;3;3;118.1
69;2026-03;29;3;3;3;60.1
70;2026-01;83;17;2;5;160.66
71;2026-02;82;10;1;1;175.73
72;2026-04;56;6;3;4;136.39
73;2026-04;91;8;2;3;25.28
74;2026-03;79;7;2;3;176.28
75;2026-02;97;9;2;5;162.79
76;2026-03;14;16;2;4;135.33
77;2026-02;71;8;2;2;28.99
78;2026-03;10;6;3;4;169.78
79;2026-04;51;14;3;4;80.02
80;2026-01;97;17;3;4;92.29
81;2026-01;11;12;1;4;73.55
82;2026-03;11;3;1;5;64.67
83;2026-02;99;3;1;1;62.51
84;2026-02;7;10;3;4;135.93
85;2026-02;57;5;3;1;144.5
86;2026-03;20;4;2;5;140.89
87;2026-04;74;5;3;3;175.65
88;2026-02;37;16;3;4;148.0
89;2026-03;96;13;2;4;126.61
90;2026-04;79;7;3;2;41.76
91;2026-02;68;5;1;3;60.49
92;2026-02;9;18;2;2;152.58
93;2026-02;60;16;1;5;48.06
94;2026-01;43;3;1;5;156.38
95;2026-04;53;20;1;1;195.66
96;2026-03;55;14;1;2;184.76
97;2026-02;40;5;2;4;15.5
98;2026-01;68;8;2;3;163.69
99;2026-03;44;4;3;4;115.26
100;2026-02;91;1;2;4;122.53
101;2026-03;5;15;3;3;126.02
102;2026-02;40;3;1;4;155.92
103;2026-02;3;2;2;3;193.97
104;2026-02;45;5;2;4;187.72
105;2026-01;4;18;3;2;140.52
106;2026-04;9;5;3;3;195.17
107;2026-02;45;14;2;3;153.47
108;2026-04;6;8;1;3;149.16
109;2026-04;52;20;2;2;31.92
110;2026-03;64;11;1;2;165.22
111;2026-03;19;16;3;4;58.27
112;2026-03;78;3;1;3;87.39
113;2026-02;54;13;2;2;194.79
114;2026-01;59;10;2;2;71.22
115;2026-04;83;6;2;5;58.1
116;2026-01;62;6;1;1;63.3
117;2026-01;65;11;1;2;21.36
118;2026-03;89;16;2;5;68.07
119;2026-03;35;2;3;4;54.09
120;2026-03;75;3;1;1;176.09
121;2026-04;85;16;3;2;71.8
122;2026-01;24;3;2;2;58.32
123;2026-03;89;15;1;1;144.57
124;2026-01;57;11;3;5;35.25
125;2026-02;12;1;1;1;10.68
126;2026-02;51;6;2;2;163.86
127;2026-03;40;16;3;3;152.84
128;2026-04;19;12;1;3;34.68
129;2026-03;52;12;2;2;101.8
130;2026-01;42;8;2;4;155.26
131;2026-01;60;14;2;1;20.63
132;2026-01;41;18;2;5;181.67
133;2026-04;99;2;2;3;152.49
134;2026-01;59;16;1;4;83.71
135;2026-01;44;11;2;4;39.98
136;2026-03;45;12;2;1;13.97
137;2026-03;46;7;1;1;87.34
138;2026-02;36;16;2;4;194.66
139;2026-01;9;15;3;5;20.32
140;2026-01;100;5;1;4;77.3
141;2026-03;37;2;1;3;114.68
142;2026-01;67;6;2;4;83.52
143;2026-03;53;6;2;4;134.23
144;2026-02;23;14;3;4;135.72
145;2026-03;65;4;3;2;195.45
146;2026-01;14;13;2;5;34.06
147;2026-04;6;7;1;2;124.83
148;2026-01;19;15;1;3;126.22
149;2026-02;69;1;3;1;155.6
150;2026-03;99;8;1;4;92.14
151;2026-02;24;16;1;2;52.3
152;2026-04;10;12;1;5;128.26
153;2026-03;42;6;3;4;91.91
154;2026-02;39;4;3;2;179.62
155;2026-01;37;6;3;4;84.28
156;2026-01;25;8;3;2;164.78
157;2026-04;60;3;3;1;168.48
158;2026-01;73;17;1;4;197.49
159;2026-02;83;9;2;1;47.06
160;2026-04;73;14;2;4;139.95
161;2026-03;14;16;3;3;116.12
162;2026-02;63;18;3;5;160.32
163;2026-02;47;13;3;3;146.98
164;2026-01;25;6;3;2;130.46
165;2026-02;27;6;2;4;199.96
166;2026-01;11;9;3;3;163.47
167;2026-03;51;11;3;2;48.4
168;2026-03;41;2;2;2;10.48
169;2026-03;88;7;3;4;60.56
170;2026-03;42;8;1;5;92.93
171;2026-04;57;13;2;5;51.93
172;2026-01;24;19;2;1;178.51
173;2026-01;38;12;2;4;176.86
174;2026-03;43;13;2;1;36.6
175;2026-04;4;5;2;5;31.05
176;2026-01;37;11;2;4;69.33
177;2026-01;41;12;3;1;40.91
178;2026-02;72;4;2;4;149.97
179;2026-02;64;13;3;5;59.29
180;2026-03;61;9;3;1;90.99
181;2026-04;4;20;2;1;150.74
182;2026-03;4;12;1;3;89.67
183;2026-01;39;11;1;5;197.53
184;2026-04;1;3;1;4;13.98
185;2026-02;39;12;2;2;74.36
186;2026-01;76;3;3;2;54.19
187;2026-04;84;17;3;5;106.7
188;2026-04;10;5;3;2;13.09
189;2026-04;75;15;2;1;91.1
190;2026-01;77;11;2;4;174.67
191;2026-02;71;16;2;3;88.72
192;2026-02;30;12;2;1;178.2
193;2026-01;27;16;1;3;23.16
194;2026-04;87;20;1;3;144.62
195;2026-03;67;10;2;2;25.4
196;2026-01;4;9;3;4;102.11
197;2026-04;85;18;3;5;109.1
198;2026-03;21;4;1;2;21.23
199;2026-01;64;12;2;1;175.61
200;2026-04;50;3;3;4;29.04
